State,Factor,Correlation
01,1520,-0.634426968896759
01,1521,-0.16433842374983085
01,1522,0.7195826667683566
01,1523,0.22147232299819866
01,1524,-0.22442176617759765
01,1525,-0.02460316082587571
01,1526,-0.17299353174682586
01,1527,0.17299353174682594
01,1528,0.11505840553606196
01,1529,0
02,1520,0.3961985058314202
02,1521,-0.34332614410253226
02,1522,-0.18896289937747024
02,1523,0.11220756402307644
02,1524,-0.07634188366952968
02,1525,-0.027035328326426623
02,1526,0.03121456924374964
02,1527,-0.006304237542223036
02,1528,-0.1338001020892832
02,1529,0.1648648999239305
04,1520,-0.07129301507411064
04,1521,0.5919014415959424
04,1522,-0.5767562405944392
04,1523,-0.08322687809067707
04,1524,0.030031975274469064
04,1525,0.050498861468113714
04,1526,0.15366361893296213
04,1527,-0.15366361893296213
04,1528,-0.49313629949991544
04,1529,0
05,1520,-0.5892248462103321
05,1521,-0.3979816294861279
05,1522,0.8369450099564412
05,1523,0.1853147638974398
05,1524,-0.006921840194063914
05,1525,-0.2779317441862905
05,1526,0.2053341378002104
05,1527,-0.20533413780021045
05,1528,0.09306980226141781
05,1529,0
06,1520,-0.5969008135290849
06,1521,-0.305734907306804
06,1522,0.7225998245209952
06,1523,-0.380700312035925
06,1524,0.417512814391799
06,1525,0.0156477492000891
06,1526,0.1629810199180952
06,1527,-0.0839428817097852
06,1528,0.17766068126436857
06,1529,0
08,1520,0.7436033848885261
08,1521,-0.1577205455710912
08,1522,-0.6542503248258082
08,1523,0.10150927631694061
08,1524,-0.03761129108158634
08,1525,0.006619956301019318
08,1526,1.8783969906559556e-4
08,1527,-0.01654360723268345
08,1528,-0.05773826415529088
08,1529,0
09,1520,0.09246311834724659
09,1521,-0.0643004152475713
09,1522,-0.032079295888092565
09,1523,-0.026901051779235085
09,1524,-0.15403933183315557
09,1525,0.223661459807309
09,1526,0.013277782513292383
09,1527,-0.013277782513292384
09,1528,-0.12735435683332197
09,1529,0
10,1520,-0.2788996003628337
10,1521,-0.07494193220269735
10,1522,0
10,1523,0.07267427642691099
10,1524,-0.14535293363438734
10,1525,0.09015084302821999
10,1526,0.13294467901361823
10,1527,-0.13294467901361823
10,1528,-0.12204801315137008
10,1529,0
12,1520,0
12,1521,-0.5405782665750287
12,1522,0.5405782665750287
12,1523,0.2012275267008007
12,1524,-0.09861254728585604
12,1525,-0.1070577337831753
12,1526,-0.18879612190224396
12,1527,0.18879612190224396
12,1528,0
12,1529,0
13,1520,-0.4977005601885097
13,1521,-0.42059212025852144
13,1522,0.7691138327276834
13,1523,0.05398316819718681
13,1524,-0.11176003293014133
13,1525,0.11327664226261373
13,1526,-0.2948736382128757
13,1527,0.2948736382128757
13,1528,0
13,1529,0
