State,Factor,Correlation
01,1520,-0.634426968896759
01,1521,-0.16433842374983085
01,1522,0.7195826667683566
01,1523,0.22147232299819866
01,1524,-0.22442176617759765
01,1525,-0.02460316082587571
01,1526,-0.17299353174682586
01,1527,0.17299353174682594
01,1528,NA
01,1529,NA
01,1520,-0.634426968896759
01,1521,-0.16433842374983085
01,1522,0.7195826667683566
01,1523,0.22147232299819866
01,1524,-0.22442176617759765
01,1525,-0.02460316082587571
01,1526,-0.17299353174682586
01,1527,0.17299353174682594
01,1528,0.11505840553606196
01,1529,NA
