,location,FIPS,2021-11-28,2021-11-27,2021-11-26,2021-11-25,2021-11-24,2021-11-23,2021-11-22,2021-11-21,2021-11-20,2021-11-19,2021-11-18,2021-11-17,2021-11-16,2021-11-15,2021-11-14,2021-11-13,2021-11-12,2021-11-11,2021-11-10,2021-11-09,2021-11-08,2021-11-07,2021-11-06,2021-11-05,2021-11-04,2021-11-03,2021-11-02,2021-11-01,2021-10-31,2021-10-30,2021-10-29,2021-10-28,2021-10-27,2021-10-26,2021-10-25,2021-10-24,2021-10-23,2021-10-22,2021-10-21,2021-10-20,2021-10-19,2021-10-18,2021-10-17,2021-10-16,2021-10-15,2021-10-14,2021-10-13,2021-10-12,2021-10-11,2021-10-10,2021-10-09,2021-10-08,2021-10-07,2021-10-06,2021-10-05,2021-10-04,2021-10-03,2021-10-02,2021-10-01,2021-09-30,2021-09-29,2021-09-28,2021-09-27,2021-09-26,2021-09-25,2021-09-24,2021-09-23,2021-09-22,2021-09-21,2021-09-20,2021-09-19,2021-09-18,2021-09-17,2021-09-16,2021-09-15,2021-09-14,2021-09-13,2021-09-12,2021-09-11,2021-09-10,2021-09-09,2021-09-08,2021-09-07,2021-09-06,2021-09-05,2021-09-04,2021-09-03,2021-09-02,2021-09-01,2021-08-31,2021-08-30,2021-08-29,2021-08-28,2021-08-27,2021-08-26,2021-08-25,2021-08-24,2021-08-23,2021-08-22,2021-08-21,2021-08-20,2021-08-19,2021-08-18,2021-08-17,2021-08-16,2021-08-15,2021-08-14,2021-08-13,2021-08-12,2021-08-11,2021-08-10,2021-08-09,2021-08-08,2021-08-07,2021-08-06,2021-08-05,2021-08-04,2021-08-03,2021-08-02,2021-08-01,2021-07-31,2021-07-30,2021-07-29,2021-07-28,2021-07-27,2021-07-26,2021-07-25
250,fulton county,13121,40.51,40.51,40.51,54.327,67.297,67.297,64.384,67.391,67.391,67.391,75.47399999999999,62.504,62.88,73.971,51.883,51.883,51.883,35.81,45.867,47.841,33.461,52.729,52.729,52.729,57.898,59.402,57.61600000000001,58.931999999999995,59.872,59.872,59.872,59.214,51.788999999999994,53.387,55.83,61.376000000000005,61.376000000000005,61.376000000000005,65.699,74.722,77.44800000000001,114.574,88.821,88.821,88.821,93.897,128.955,115.32600000000001,86.471,148.22299999999998,148.22299999999998,148.22299999999998,147.189,138.82399999999998,172.66099999999997,176.138,167.96099999999998,167.96099999999998,167.96099999999998,171.063,131.211,119.744,188.075,211.10299999999998,211.10299999999998,211.10299999999998,224.637,262.892,276.61400000000003,225.859,251.707,251.707,251.707,269.847,271.445,291.559,397.58,295.13,295.13,295.13,310.639,307.443,300.394,202.644,323.985,323.985,323.985,294.096,313.36400000000003,317.124,300.582,296.54,296.54,296.54,302.368,299.172,277.272,287.329,301.052,301.052,301.052,292.78,278.87,289.303,287.329,258.944,258.944,258.944,261.764,266.275,258.756,295.224,242.59,242.59,242.59,228.49099999999999,215.52,206.59099999999998,157.246,164.295,164.295,164.295,159.126,145.121,137.03799999999998,121.436,93.709
251,gilmer county,13123,47.818000000000005,47.818000000000005,47.818000000000005,57.381,70.133,86.072,89.26,102.012,102.012,102.012,149.829,137.078,117.95100000000001,121.139,86.072,86.072,86.072,54.193999999999996,89.26,82.884,89.26,117.95100000000001,117.95100000000001,117.95100000000001,114.76299999999999,121.139,140.266,153.017,168.957,168.957,168.957,172.144,159.393,178.52,175.332,175.332,175.332,175.332,184.896,197.64700000000002,184.896,245.465,200.835,200.835,200.835,219.96200000000002,242.27700000000002,270.968,210.399,293.283,293.283,293.283,293.283,286.907,290.095,331.538,325.16200000000003,325.16200000000003,325.16200000000003,328.35,318.786,325.16200000000003,325.16200000000003,353.853,353.853,353.853,372.98,363.416,341.101,315.598,331.538,331.538,331.538,318.786,360.228,455.86400000000003,637.572,516.433,516.433,516.433,535.561,519.621,487.74300000000005,341.101,618.445,618.445,618.445,675.826,726.832,768.2739999999999,819.28,796.965,796.965,796.965,806.529,832.0319999999999,793.7769999999999,742.7719999999999,577.003,577.003,577.003,506.87,423.985,382.543,363.416,357.04,357.04,357.04,286.907,369.792,328.35,293.283,229.52599999999998,229.52599999999998,229.52599999999998,229.52599999999998,92.448,73.321,44.63,41.442,41.442,41.442,41.442,54.193999999999996,47.818000000000005,51.006,47.818000000000005
252,glynn county,13127,16.414,16.414,16.414,28.139,37.518,36.346,39.863,43.38,43.38,43.38,42.208,32.828,32.828,46.898,37.518,37.518,37.518,30.484,39.863,37.518,21.104,30.484,30.484,30.484,31.656,30.484,32.828,34.001,32.828,32.828,32.828,35.173,34.001,36.346,42.208,43.38,43.38,43.38,46.898,49.243,53.931999999999995,82.071,72.691,72.691,72.691,83.243,111.382,106.69200000000001,84.416,106.69200000000001,106.69200000000001,106.69200000000001,109.037,89.10600000000001,114.899,136.003,229.799,229.799,229.799,259.11,288.421,311.87,298.973,274.35200000000003,274.35200000000003,274.35200000000003,269.66200000000003,276.697,281.38599999999997,301.318,480.702,480.702,480.702,529.944,540.496,560.428,968.438,697.6039999999999,697.6039999999999,697.6039999999999,743.329,891.057,1096.234,907.471,1496.037,1496.037,1496.037,1534.7279999999998,1591.005,1617.971,1418.656,1487.83,1487.83,1487.83,1540.59,1484.3129999999999,1303.757,1436.243,1197.0639999999999,1197.0639999999999,1197.0639999999999,1159.546,1039.9569999999999,974.3,850.0210000000001,681.189,681.189,681.189,594.429,655.3960000000001,691.7410000000001,732.7769999999999,683.534,683.534,683.534,629.602,572.1519999999999,572.1519999999999,495.94300000000004,368.147,368.147,368.147,369.32,313.04200000000003,234.489,216.90200000000002,180.55599999999998
253,gordon county,13129,34.505,34.505,34.505,62.108999999999995,84.537,101.789,108.69,122.492,122.492,122.492,124.21700000000001,101.789,75.91,106.965,72.46,72.46,72.46,55.208,77.63600000000001,93.163,63.833999999999996,105.24,105.24,105.24,101.789,93.163,93.163,89.712,81.086,81.086,81.086,81.086,72.46,89.712,91.43799999999999,155.27100000000002,155.27100000000002,155.27100000000002,169.07299999999998,181.15,155.27100000000002,224.28099999999998,127.66799999999999,127.66799999999999,127.66799999999999,163.898,189.77599999999998,194.952,134.569,224.28099999999998,224.28099999999998,224.28099999999998,208.75400000000002,213.93,248.43400000000003,270.862,257.061,257.061,257.061,286.39,322.62,322.62,327.795,364.025,364.025,364.025,367.476,334.69599999999997,376.102,369.20099999999996,412.332,412.332,412.332,445.11199999999997,452.01199999999994,441.661,667.6669999999999,512.396,512.396,512.396,565.878,621.086,681.4689999999999,545.175,831.565,831.565,831.565,807.4119999999999,809.137,783.258,755.654,633.163,633.163,633.163,564.153,567.6030000000001,579.68,553.802,550.351,550.351,550.351,521.0219999999999,484.792,464.089,465.814,429.584,429.584,429.584,420.958,403.70599999999996,336.42199999999997,319.16900000000004,243.25900000000001,243.25900000000001,243.25900000000001,229.457,184.601,181.15,141.47,143.195,143.195,143.195,146.645,139.744,120.76700000000001,112.141,108.69
254,gwinnett county,13135,52.443000000000005,52.443000000000005,52.443000000000005,70.067,89.292,91.963,95.594,98.69200000000001,98.69200000000001,98.69200000000001,103.28399999999999,84.059,82.45700000000001,94.633,66.756,66.756,66.756,52.55,67.39699999999999,65.367,42.51,66.649,66.649,66.649,68.892,69.533,75.941,79.893,75.834,75.834,75.834,80.961,77.009,76.903,78.611,81.282,81.282,81.282,84.166,96.98299999999999,103.391,172.497,149.746,149.746,149.746,159.786,210.30700000000002,191.722,141.308,258.478,258.478,258.478,258.798,250.574,315.407,310.921,263.284,263.284,263.284,268.83799999999997,232.737,204.21900000000002,303.658,316.796,316.796,316.796,316.368,324.486,328.33099999999996,242.67,267.664,267.664,267.664,278.45099999999996,286.248,292.87,403.63199999999995,295.968,295.968,295.968,306.649,304.406,298.318,196.52900000000002,294.473,294.473,294.473,295.113,296.502,307.824,288.91900000000004,273.111,273.111,273.111,259.973,263.605,237.33,238.93200000000002,261.469,261.469,261.469,246.94299999999998,222.37599999999998,223.338,224.192,191.295,191.295,191.295,200.801,203.15099999999998,197.27599999999998,211.375,170.574,170.574,170.574,149.96,143.872,142.697,115.03299999999999,121.015,121.015,121.015,120.26700000000001,110.441,102.64399999999999,88.545,74.66
255,habersham county,13137,90.45200000000001,90.45200000000001,90.45200000000001,116.926,127.956,143.399,145.605,103.689,103.689,103.689,97.07,86.04,77.215,90.45200000000001,68.39,68.39,68.39,55.153999999999996,61.772,55.153999999999996,37.504,77.215,77.215,77.215,101.48299999999999,114.719,132.369,121.338,145.605,145.605,145.605,136.781,132.369,112.51299999999999,136.781,121.338,121.338,121.338,132.369,132.369,147.812,222.82,174.285,174.285,174.285,172.079,209.583,200.75900000000001,138.987,244.882,244.882,244.882,255.912,271.355,300.035,308.86,302.241,302.241,302.241,330.921,333.12699999999995,333.12699999999995,341.952,350.777,350.777,350.777,324.303,339.746,425.785,476.527,573.597,573.597,573.597,611.101,661.8430000000001,655.224,886.8689999999999,681.698,681.698,681.698,705.965,961.878,939.816,675.079,869.22,869.22,869.22,820.685,507.413,505.20599999999996,538.299,575.803,575.803,575.803,597.864,551.535,474.32099999999997,405.93,284.592,284.592,284.592,258.119,262.531,295.623,322.097,280.18,280.18,280.18,271.355,286.798,260.325,247.088,196.347,196.347,196.347,174.285,156.636,152.224,105.895,114.719,114.719,114.719,97.07,77.215,63.978,63.978,57.36
256,hall county,13139,55.762,55.762,55.762,78.751,101.25200000000001,110.545,137.44799999999998,148.209,148.209,148.209,156.524,134.024,138.915,157.99200000000002,117.39299999999999,117.39299999999999,117.39299999999999,102.719,116.415,101.25200000000001,61.631,102.23,102.23,102.23,100.273,110.545,116.415,121.796,120.32799999999999,120.32799999999999,120.32799999999999,136.959,144.296,150.166,163.372,171.199,171.199,171.199,172.666,174.623,179.514,232.83,185.873,185.873,185.873,208.862,242.12400000000002,218.15599999999998,172.17700000000002,267.559,267.559,267.559,254.84099999999998,253.37400000000002,298.375,297.885,292.994,292.994,292.994,305.223,299.353,313.04900000000004,327.23400000000004,395.713,395.713,395.713,408.92,445.116,481.31199999999995,481.31199999999995,514.085,514.085,514.085,564.955,551.748,568.868,915.178,723.436,723.436,723.436,701.425,720.5010000000001,668.163,356.093,583.053,583.053,583.053,572.781,571.803,606.5319999999999,588.923,502.345,502.345,502.345,493.05199999999996,460.279,425.551,414.3,387.88699999999994,387.88699999999994,387.88699999999994,355.115,329.67900000000003,314.51599999999996,309.625,284.19,284.19,284.19,278.32,273.918,258.265,252.396,212.775,212.775,212.775,195.655,191.253,177.55700000000002,159.459,148.209,148.209,148.209,146.74200000000002,132.55700000000002,128.154,106.14299999999999,89.023
257,henry county,13151,43.912,43.912,43.912,56.702,71.623,68.639,74.607,80.57600000000001,80.57600000000001,80.57600000000001,98.48200000000001,83.56,86.118,92.94,69.918,69.918,69.918,60.111999999999995,69.492,69.065,52.012,78.444,78.444,78.444,69.492,86.118,92.51299999999999,92.51299999999999,113.40299999999999,113.40299999999999,113.40299999999999,122.78299999999999,112.124,113.83,121.07700000000001,109.993,109.993,109.993,107.435,116.814,107.861,170.53099999999998,134.293,134.293,134.293,141.115,172.237,164.136,112.124,195.25799999999998,195.25799999999998,195.25799999999998,207.196,201.653,236.18599999999998,250.255,246.84400000000002,246.84400000000002,246.84400000000002,258.355,247.697,245.565,274.555,325.289,325.289,325.289,335.52,338.931,346.17900000000003,348.31,382.843,382.843,382.843,378.153,399.043,422.491,614.339,449.35,449.35,449.35,506.478,515.857,526.515,367.921,657.398,657.398,657.398,662.0880000000001,692.357,702.5889999999999,665.4989999999999,649.724,649.724,649.724,624.145,646.74,634.803,635.229,594.302,594.302,594.302,589.612,548.685,539.732,535.895,449.776,449.776,449.776,435.281,404.159,375.16900000000004,403.30699999999996,313.778,313.778,313.778,281.377,270.29200000000003,288.624,234.054,251.107,251.107,251.107,243.433,222.97,186.732,177.35299999999998,179.058
258,houston county,13153,17.737000000000002,17.737000000000002,17.737000000000002,25.971999999999998,35.474000000000004,51.31,69.681,84.884,84.884,84.884,131.76,122.258,150.764,171.03400000000002,143.796,143.796,143.796,107.055,121.624,93.75200000000001,65.24600000000001,86.78399999999999,86.78399999999999,86.78399999999999,82.35,79.183,77.916,69.047,74.748,74.748,74.748,66.513,63.98,67.14699999999999,88.051,84.25,84.25,84.25,91.852,96.919,87.41799999999999,115.29,91.852,91.852,91.852,93.75200000000001,119.72399999999999,143.162,122.258,180.53599999999997,180.53599999999997,180.53599999999997,193.83900000000003,190.672,191.305,200.174,212.209,212.209,212.209,226.145,248.317,261.619,285.691,326.866,326.866,326.866,369.30800000000005,435.18699999999995,480.79699999999997,551.111,616.991,616.991,616.991,685.404,741.1489999999999,822.232,1077.517,900.148,900.148,900.148,933.721,895.7130000000001,862.14,566.947,836.168,836.168,836.168,788.659,786.125,760.7860000000001,821.5980000000001,817.164,817.164,817.164,820.965,812.097,810.83,758.8860000000001,773.455,773.455,773.455,738.615,693.0060000000001,659.433,663.2330000000001,538.442,538.442,538.442,504.86800000000005,485.231,461.793,451.657,389.57800000000003,389.57800000000003,389.57800000000003,366.774,345.236,338.901,294.559,254.65099999999998,254.65099999999998,254.65099999999998,239.44799999999998,219.17700000000002,183.704,162.799,139.361
259,jackson county,13157,73.99600000000001,73.99600000000001,73.99600000000001,82.21799999999999,108.25299999999999,98.661,104.14200000000001,80.847,80.847,80.847,94.55,68.515,63.034,63.034,49.331,49.331,49.331,36.998000000000005,50.701,42.479,49.331,73.99600000000001,73.99600000000001,73.99600000000001,79.477,78.107,89.069,80.847,86.329,86.329,86.329,102.772,113.734,120.586,120.586,139.77,139.77,139.77,131.548,135.659,150.732,257.615,208.285,208.285,208.285,223.358,263.097,234.32,158.954,291.873,291.873,291.873,290.502,275.42900000000003,319.279,322.019,305.57599999999996,305.57599999999996,305.57599999999996,308.316,313.798,319.279,331.611,416.57,416.57,416.57,415.199,428.902,452.19699999999995,578.264,563.191,563.191,563.191,609.781,709.813,819.436,1040.0539999999999,853.694,853.694,853.694,1007.1669999999999,915.357,790.66,530.304,878.3589999999999,878.3589999999999,878.3589999999999,774.217,819.436,918.097,874.248,759.143,759.143,759.143,792.03,765.995,727.627,693.3689999999999,697.48,697.48,697.48,624.854,596.078,565.932,581.005,520.712,520.712,520.712,486.455,470.01099999999997,419.31,463.16,341.20300000000003,341.20300000000003,341.20300000000003,306.94599999999997,298.724,294.613,183.61900000000003,175.398,175.398,175.398,174.02700000000002,157.584,134.289,127.43700000000001,120.586
