1,edge,0,7,64,nan,nan,nan
7,edge,0,7,64,nan,nan,nan
14,edge,0,7,64,nan,nan,nan
28,edge,0,7,64,nan,nan,nan
1,edge,0,7,64,nan,nan,nan
7,edge,0,7,64,nan,nan,nan
14,edge,0,7,64,nan,nan,nan
28,edge,0,7,64,nan,nan,nan
1,edge,0,7,64,nan,nan,nan
7,edge,0,7,64,nan,nan,nan
14,edge,0,7,64,nan,nan,nan
28,edge,0,7,64,nan,nan,nan
1,edge,0,7,64,183.75009,7.79477,0.10998
7,edge,0,7,64,309.46936,6.00125,0.15093
14,edge,0,7,64,nan,nan,nan
28,edge,0,7,64,nan,nan,nan
1,edge,0,7,64,184.92326,7.36699,0.11277
7,edge,0,7,64,311.09747,5.13330,0.15041
14,edge,0,7,64,nan,nan,nan
28,edge,0,7,64,nan,nan,nan
1,edge,0,7,64,156.19174,56.72734,0.12656
7,edge,0,7,64,229.44830,71.05840,0.17682
14,edge,0,7,64,309.84659,88.59144,0.24093
28,edge,0,7,64,403.19479,120.17023,0.27303
