n_days_ahead,the_nth_day,MAE,sMAPE,,
1,81,133.24367,0.1371,176.92888,0.12094
1,82,138.73842,0.16318,176.36726,0.12156
1,83,100.06492,0.11375,175.26143,0.12145
1,84,104.88306,0.15208,174.25601,0.12188
1,85,80.97071,0.11846,172.94214,0.12184
1,86,108.72065,0.14508,172.05019,0.12216
1,87,105.6216,0.12907,171.14021,0.12225
1,88,141.82861,0.20374,170.74411,0.12336
1,89,123.13557,0.13225,170.10933,0.12347
1,90,139.73747,0.16302,169.7097,0.12399
1,91,100.48778,0.10655,168.81071,0.12377
1,92,103.12813,0.13322,167.96863,0.12389
1,93,101.87591,0.11976,167.132,0.12384
1,94,127.62064,0.16933,166.63811,0.12441
1,95,123.69406,0.14191,166.10794,0.12462
1,96,117.19644,0.15391,165.51146,0.12498
1,97,95.10029,0.13221,164.66313,0.12507
1,98,107.16396,0.15343,163.97862,0.1254
1,99,81.90555,0.11236,163.01305,0.12525
1,100,100.97601,0.14287,162.29169,0.12545
1,101,115.62811,0.14092,161.75533,0.12563
1,102,113.52613,0.14723,161.20726,0.12588
1,103,106.63578,0.12227,160.5941,0.12584
1,104,94.78969,0.13342,159.86295,0.12592
1,105,91.99671,0.11583,159.11717,0.12581
1,106,100.37449,0.13431,158.47865,0.1259
1,107,94.2824,0.1192,157.78838,0.12583
1,108,146.60677,0.13934,157.66942,0.12597
1,109,143.74908,0.142,157.52289,0.12614
1,110,123.13502,0.13157,157.16469,0.1262
1,111,108.26796,0.11871,156.66058,0.12612
1,112,101.56484,0.11924,156.09839,0.12605
1,113,86.33289,0.10132,155.39368,0.1258
1,114,95.93816,0.11856,154.79913,0.12573
1,115,158.83177,0.18117,154.83907,0.12628
1,116,276.34134,0.25146,156.03026,0.12751
1,117,264.08032,0.25451,157.07928,0.12874
1,118,260.17654,0.27014,158.07062,0.1301
7,15,312.61435,0.15431,312.61435,0.15431
7,16,306.67819,0.14613,309.64627,0.15022
7,17,312.56195,0.14493,310.61816,0.14846
7,18,312.67432,0.14252,311.1322,0.14697
7,19,288.1033,0.19459,306.52643,0.1565
7,20,306.65085,0.13999,306.54715,0.15375
7,21,280.02042,0.22309,302.75763,0.16365
7,22,319.49792,0.14101,304.85016,0.16082
7,23,298.31747,0.21034,304.1243,0.16632
7,24,299.41855,0.1898,303.65372,0.16867
7,25,282.75974,0.19573,301.75427,0.17113
7,26,288.59711,0.20401,300.65784,0.17387
7,27,276.51266,0.16361,298.80051,0.17308
7,28,284.06995,0.17464,297.74832,0.17319
7,29,405.14212,0.20186,304.9079,0.1751
7,30,289.62695,0.18027,303.95285,0.17543
7,31,285.87265,0.17066,302.88931,0.17515
7,32,324.70816,0.20474,304.10144,0.17679
7,33,308.38104,0.17277,304.32669,0.17658
