,0
0,719.1755981445312
1,626.2485961914062
2,636.2611694335938
3,638.2684936523438
4,550.2162475585938
5,631.4291381835938
6,524.3770751953125
7,526.96533203125
8,524.4800415039062
9,561.7374267578125
10,516.1600341796875
11,595.4973754882812
12,488.57855224609375
13,442.3615417480469
14,503.56884765625
15,478.63232421875
16,487.04156494140625
17,493.6649169921875
18,506.2678527832031
19,499.2161865234375
20,504.3879699707031
21,480.75140380859375
22,524.84765625
23,518.4470825195312
24,535.3555908203125
25,465.9556579589844
26,484.14166259765625
27,478.4905090332031
28,417.3503112792969
29,458.6525573730469
30,401.5955505371094
31,378.60101318359375
32,426.23370361328125
33,442.8322448730469
34,466.44207763671875
35,417.0575256347656
36,301.6945495605469
37,318.8946533203125
38,334.5267333984375
39,299.1210632324219
40,291.5309753417969
41,261.4357604980469
42,283.4471130371094
43,291.0576477050781
44,310.36639404296875
45,271.46807861328125
46,284.4161071777344
47,261.46771240234375
48,286.8899841308594
49,268.5807800292969
50,278.841796875
51,234.21441650390625
52,261.2299499511719
53,232.3119659423828
54,228.25193786621094
55,234.8156280517578
56,241.51681518554688
57,233.1840057373047
58,269.0755310058594
59,250.2132110595703
60,321.7039794921875
61,281.0035705566406
62,299.8031005859375
63,311.04168701171875
64,337.5671081542969
65,351.5699462890625
66,443.1198425292969
67,409.8519287109375
68,407.87335205078125
69,381.27484130859375
70,430.68292236328125
71,431.81072998046875
72,449.5448913574219
73,364.2163391113281
74,318.8526611328125
75,302.5869445800781
76,323.6502990722656
