n_days_ahead,the_nth_day,MAE,sMAPE
7,109,138.57764,0.26441
7,110,172.55452,0.23463
7,111,218.62195,0.2838
7,112,211.11745,0.24704
14,15,458.2782,0.18493
14,16,459.53027,0.18491
14,17,440.45868,0.17658
14,18,407.98734,0.17269
14,19,380.42404,0.19333
14,20,421.35526,0.17302
14,21,370.72894,0.20223
14,22,454.23804,0.2458
14,23,386.89069,0.19422
14,24,367.41336,0.21667
14,25,347.2272,0.21523
14,26,375.74042,0.2422
14,27,367.90356,0.22958
14,28,349.99207,0.22596
14,29,445.35257,0.24901
14,30,420.1069,0.24434
14,31,372.58963,0.21345
14,32,387.88455,0.23634
14,33,390.90958,0.30776
14,34,381.69669,0.26006
14,35,367.39368,0.22212
14,36,404.86758,0.229
14,37,454.4563,0.23019
14,38,463.48495,0.25623
14,39,469.66318,0.21763
14,40,442.43573,0.27278
14,41,410.85825,0.19915
14,42,435.56992,0.30823
14,43,374.18668,0.19511
14,44,394.37546,0.25493
14,45,343.9866,0.20126
14,46,342.83432,0.25308
14,47,384.36172,0.21747
14,48,453.35736,0.29346
14,49,397.92218,0.22262
14,50,388.79773,0.26859
14,51,310.4064,0.2108
14,52,319.18488,0.26239
14,53,270.79892,0.20486
14,54,271.10059,0.21498
14,55,243.44052,0.18715
14,56,277.55597,0.25745
14,57,250.09834,0.19799
14,58,336.00848,0.26823
14,59,263.35333,0.19585
14,60,259.47672,0.19493
14,61,258.51215,0.19545
14,62,286.58676,0.25544
14,63,227.82584,0.17733
14,64,287.9227,0.25078
14,65,196.31155,0.18928
14,66,221.09653,0.24974
14,67,181.14043,0.2059
14,68,210.19162,0.27555
14,69,158.84651,0.19836
14,70,212.29337,0.2858
14,71,166.50557,0.19107
14,72,214.15201,0.28443
14,73,169.60703,0.19935
14,74,239.98811,0.30323
14,75,168.14108,0.1991
14,76,215.72813,0.28735
14,77,176.62549,0.18829
14,78,217.18803,0.23836
14,79,196.87253,0.20006
14,80,222.11885,0.26295
14,81,216.06215,0.20986
14,82,254.23997,0.26597
14,83,232.13776,0.2149
14,84,223.70293,0.2599
14,85,205.23802,0.19605
14,86,223.55901,0.27234
14,87,250.06013,0.2272
14,88,257.90823,0.30983
14,89,280.6864,0.24719
14,90,292.68829,0.29988
14,91,287.52441,0.24412
14,92,290.02377,0.296
14,93,296.58557,0.23907
14,94,316.50629,0.30318
14,95,359.18646,0.27925
14,96,336.79883,0.33465
14,97,316.2681,0.2671
14,98,296.69897,0.30108
14,99,313.22592,0.26085
14,100,321.33862,0.35324
14,101,291.89166,0.24313
14,102,257.73267,0.42272
14,103,185.41298,0.24755
14,104,176.91524,0.335
14,105,169.30762,0.25191
28,15,719.1755981,0.250657856
28,16,626.2485962,0.234841868
28,17,636.2611694,0.23671402
28,18,638.2684937,0.23302038
28,19,550.2162476,0.242556244
28,20,631.4291382,0.236093193
28,21,524.3770752,0.225651011
28,22,526.965332,0.216297969
28,23,524.4800415,0.240868762
28,24,561.7374268,0.23134464
28,25,516.1600342,0.251225501
28,26,595.4973755,0.254811823
28,27,488.5785522,0.256347328
28,28,442.3615417,0.220778421
28,29,503.5688477,0.254976124
28,30,478.6323242,0.242146179
28,31,487.0415649,0.262394279
28,32,493.664917,0.280851334
28,33,506.2678528,0.282311112
28,34,499.2161865,0.286744356
28,35,504.38797,0.288995236
28,36,480.7514038,0.284719527
28,37,524.8476563,0.287819564
28,38,518.4470825,0.290829748
28,39,535.3555908,0.301647305
28,40,465.955658,0.29246366
28,41,484.1416626,0.288011193
28,42,478.490509,0.312750578
28,43,417.3503113,0.275217086
28,44,458.6525574,0.369796872
28,45,401.5955505,0.273232788
28,46,378.6010132,0.295935959
28,47,426.2337036,0.29973492
28,48,442.8322449,0.321660042
28,49,466.4420776,0.319298208
28,50,417.0575256,0.322670043
28,51,301.6945496,0.267852008
28,52,318.8946533,0.290537089
28,53,334.5267334,0.268092871
28,54,299.1210632,0.270828485
28,55,291.5309753,0.257999539
28,56,261.4357605,0.241226003
28,57,283.447113,0.265283823
28,58,291.0576477,0.277227759
28,59,310.366394,0.282798797
28,60,271.4680786,0.245438918
28,61,284.4161072,0.254286975
28,62,261.4677124,0.241500407
28,63,286.8899841,0.247282073
28,64,268.58078,0.237628311
28,65,278.8417969,0.24258405
28,66,234.2144165,0.230196744
28,67,261.22995,0.250098675
28,68,232.3119659,0.243179291
28,69,228.2519379,0.229487211
28,70,234.8156281,0.229675129
28,71,241.5168152,0.238827676
28,72,233.1840057,0.224955663
28,73,269.075531,0.247415528
28,74,250.2132111,0.242167234
28,75,321.7039795,0.29448548
28,76,281.0035706,0.241356179
