,FIPS,State,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Motor Vehicle Mortality Rate,% Insufficient Sleep,High School Graduation Rate,Average Grade Performance,Median Household Income,% Enrolled in Free or Reduced Lunch,Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,% Homeowners,% Broadband Access,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Rural,POPESTIMATE,POPEST_MALE,POPEST_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
37,41000,Oregon,79.9,303.0,41.0,15,15,10,198.0,12,5.0,13.0,11.0,33,79.0,2.9,66955.0,49.0,3.0,19.0,13.0,62,86,2.0,1.8,4.9,0.5,13.4,75.1,3,19.0,4241507.0,2102461.0,2139046.0,221046.0,113154.0,107892.0,241871.0,124131.0,117740.0,249649.0,127659.0,121990.0,244980.0,125505.0,119475.0,263425.0,134100.0,129325.0,301585.0,153994.0,147591.0,306634.0,156113.0,150521.0,299852.0,151157.0,148695.0,278687.0,140617.0,138070.0,259294.0,131440.0,127854.0,252733.0,126276.0,126457.0,261028.0,127562.0,133466.0,271196.0,129106.0,142090.0,261600.0,123298.0,138302.0,216952.0,102366.0,114586.0,141422.0,65734.0,75688.0,85056.0,38084.0,46972.0,84497.0,32165.0,52332.0,40.22392038961623,39.15330845852665,41.27196213515621
38,42000,Pennsylvania,78.4,355.0,49.0,12,15,11,331.0,11,5.0,37.0,9.0,39,86.0,3.1,63455.0,51.0,5.0,15.0,12.0,69,82,10.9,0.4,3.8,0.1,7.8,75.7,2,21.3,12783254.0,6267042.0,6516212.0,689104.0,352608.0,336496.0,725467.0,370998.0,354469.0,745345.0,381484.0,363861.0,793290.0,403645.0,389645.0,789841.0,401114.0,388727.0,843698.0,432301.0,411397.0,863353.0,438954.0,424399.0,797952.0,400989.0,396963.0,736057.0,366407.0,369650.0,745910.0,370199.0,375711.0,815481.0,401944.0,413537.0,892737.0,434985.0,457752.0,897332.0,432483.0,464849.0,774779.0,368069.0,406710.0,626479.0,290248.0,336231.0,428508.0,189112.0,239396.0,289281.0,119544.0,169737.0,328640.0,111958.0,216682.0,41.14984255182599,39.61036053887375,42.733263932641876
39,44000,Rhode Island,79.8,304.0,42.0,12,13,10,284.0,11,5.0,30.0,6.0,37,84.0,3.1,70383.0,47.0,2.0,11.0,4.0,61,84,6.1,1.1,3.7,0.2,16.3,71.4,4,9.3,1057125.0,514692.0,542433.0,53762.0,27430.0,26332.0,55021.0,28246.0,26775.0,56783.0,28988.0,27795.0,69616.0,34732.0,34884.0,74115.0,37377.0,36738.0,74079.0,38027.0,36052.0,74634.0,38028.0,36606.0,66540.0,33475.0,33065.0,60198.0,29995.0,30203.0,61301.0,29817.0,31484.0,69430.0,33491.0,35939.0,75903.0,36282.0,39621.0,73266.0,34843.0,38423.0,61188.0,28700.0,32488.0,49144.0,22828.0,26316.0,33392.0,14773.0,18619.0,21796.0,8879.0,12917.0,26957.0,8781.0,18176.0,40.59990105238264,38.928845311576204,42.31102310512002
40,45000,South Carolina,77.1,411.0,60.0,12,15,13,406.0,12,9.0,21.0,19.0,39,81.0,2.9,56360.0,62.0,9.0,16.0,18.0,69,78,26.4,0.5,1.8,0.1,6.0,63.7,1,33.7,5218040.0,2523412.0,2694628.0,291296.0,148801.0,142495.0,308821.0,157410.0,151411.0,327318.0,165915.0,161403.0,325272.0,166022.0,159250.0,333970.0,171626.0,162344.0,347980.0,173258.0,174722.0,341665.0,166584.0,175081.0,323078.0,156771.0,166307.0,307260.0,148674.0,158586.0,313764.0,151404.0,162360.0,324378.0,155978.0,168400.0,351090.0,165987.0,185103.0,345773.0,160986.0,184787.0,318083.0,144829.0,173254.0,274965.0,126712.0,148253.0,182164.0,82643.0,99521.0,106869.0,45874.0,60995.0,94294.0,33938.0,60356.0,40.43712765712796,38.8440275467417,41.93357164759181
41,46000,South Dakota,78.9,335.0,67.0,9,9,10,85.0,11,11.0,8.0,16.0,30,81.0,3.1,60414.0,37.0,3.0,21.0,12.0,68,81,2.2,9.0,1.5,0.1,4.2,81.5,1,43.3,892717.0,450659.0,442058.0,60464.0,30794.0,29670.0,61387.0,31459.0,29928.0,61285.0,31431.0,29854.0,58826.0,30340.0,28486.0,59560.0,30908.0,28652.0,57884.0,30445.0,27439.0,57225.0,29693.0,27532.0,57060.0,29848.0,27212.0,51248.0,26311.0,24937.0,46133.0,23591.0,22542.0,47567.0,24240.0,23327.0,57078.0,28417.0,28661.0,59823.0,29658.0,30165.0,54035.0,26978.0,27057.0,40006.0,20057.0,19949.0,25136.0,11825.0,13311.0,17144.0,7416.0,9728.0,20856.0,7248.0,13608.0,37.92651825830584,37.01656908068289,38.94055887812153
42,47000,Tennessee,76.0,453.0,63.0,15,16,13,305.0,14,8.0,28.0,15.0,41,90.0,3.0,56047.0,,8.0,16.0,18.0,66,78,16.7,0.5,2.0,0.1,5.7,73.5,2,33.6,6886834.0,3358020.0,3528814.0,407398.0,208162.0,199236.0,416196.0,212712.0,203484.0,431394.0,220037.0,211357.0,422864.0,215374.0,207490.0,447159.0,225480.0,221679.0,495123.0,248393.0,246730.0,466816.0,231554.0,235262.0,435747.0,214683.0,221064.0,419215.0,206006.0,213209.0,429098.0,210311.0,218787.0,434689.0,212723.0,221966.0,459688.0,220940.0,238748.0,440904.0,208504.0,232400.0,383966.0,178217.0,205749.0,320904.0,148113.0,172791.0,216659.0,97230.0,119429.0,135093.0,56641.0,78452.0,123921.0,42940.0,80981.0,39.48026569247932,38.15235228553497,40.81181206052012
43,48000,Texas,79.2,339.0,50.0,12,12,10,393.0,15,9.0,11.0,13.0,34,90.0,2.9,64044.0,61.0,5.0,13.0,12.0,62,82,12.1,1.0,5.2,0.1,39.7,41.2,7,15.3,29360759.0,14581051.0,14779708.0,1968907.0,1003763.0,965144.0,2086674.0,1064472.0,1022202.0,2119719.0,1080531.0,1039188.0,2067665.0,1055759.0,1011906.0,2030723.0,1042053.0,988670.0,2173086.0,1113651.0,1059435.0,2145484.0,1089978.0,1055506.0,2091557.0,1054222.0,1037335.0,1927702.0,965130.0,962572.0,1850386.0,917899.0,932487.0,1726449.0,855831.0,870618.0,1713628.0,839194.0,874434.0,1585096.0,764846.0,820250.0,1305244.0,611533.0,693711.0,1034668.0,478198.0,556470.0,687927.0,307765.0,380162.0,431914.0,183561.0,248353.0,413930.0,152665.0,261265.0,35.338129249315394,34.40676365689323,36.31158407383134
44,49000,Utah,80.1,282.0,48.0,10,12,8,118.0,11,6.0,19.0,8.0,31,,3.2,75705.0,33.0,2.0,22.0,12.0,70,88,1.2,1.6,2.7,1.1,14.4,77.8,2,9.4,3249879.0,1637740.0,1612139.0,241733.0,123665.0,118068.0,258247.0,132570.0,125677.0,269625.0,138870.0,130755.0,257119.0,130583.0,126536.0,269900.0,138606.0,131294.0,254772.0,131527.0,123245.0,224804.0,114101.0,110703.0,228952.0,116209.0,112743.0,221657.0,112839.0,108818.0,181260.0,92216.0,89044.0,156123.0,78926.0,77197.0,153879.0,76119.0,77760.0,150215.0,73257.0,76958.0,129086.0,62375.0,66711.0,100966.0,48154.0,52812.0,68599.0,31748.0,36851.0,43419.0,19594.0,23825.0,39523.0,16381.0,23142.0,31.767954837703186,31.24698205687042,32.34995718302127
45,50000,Vermont,79.8,302.0,37.0,11,13,9,130.0,11,3.0,22.0,10.0,30,86.0,,63293.0,36.0,2.0,17.0,12.0,71,82,1.3,0.4,1.9,0.0,2.0,92.6,1,61.1,623347.0,307992.0,315355.0,28258.0,14371.0,13887.0,31177.0,16184.0,14993.0,32888.0,17021.0,15867.0,40826.0,21018.0,19808.0,44561.0,22834.0,21727.0,38311.0,19778.0,18533.0,36979.0,18729.0,18250.0,37172.0,18436.0,18736.0,35086.0,17266.0,17820.0,35843.0,17851.0,17992.0,39961.0,19625.0,20336.0,46112.0,22344.0,23768.0,47579.0,23132.0,24447.0,42881.0,20750.0,22131.0,34732.0,16766.0,17966.0,22903.0,10693.0,12210.0,13721.0,6072.0,7649.0,14357.0,5122.0,9235.0,43.30877456697473,41.89439140639162,44.6228322266731
46,51000,Virginia,79.5,320.0,48.0,11,12,11,322.0,10,4.0,18.0,10.0,39,88.0,3.2,76471.0,44.0,5.0,13.0,12.0,66,84,19.1,0.5,6.9,0.1,9.8,61.2,3,24.5,8590563.0,4227531.0,4363032.0,503465.0,257237.0,246228.0,518139.0,265540.0,252599.0,527084.0,269463.0,257621.0,542556.0,275539.0,267017.0,574562.0,298457.0,276105.0,600352.0,307592.0,292760.0,595125.0,299589.0,295536.0,584382.0,292039.0,292343.0,542709.0,268702.0,274007.0,535696.0,264840.0,270856.0,548618.0,268448.0,280170.0,579969.0,281617.0,298352.0,536862.0,256168.0,280694.0,451144.0,210804.0,240340.0,376422.0,173020.0,203402.0,256621.0,114297.0,142324.0,160221.0,68037.0,92184.0,156636.0,56142.0,100494.0,39.147563774341684,37.86383587431932,40.438999830395275
47,53000,Washington,80.4,288.0,38.0,11,12,9,215.0,11,6.0,16.0,8.0,32,89.0,3.0,78674.0,43.0,3.0,16.0,11.0,63,88,4.0,1.9,9.6,0.8,13.0,67.5,4,16.0,7693612.0,3853598.0,3840014.0,449963.0,230354.0,219609.0,471749.0,241724.0,230025.0,470688.0,240735.0,229953.0,447495.0,228150.0,219345.0,483806.0,252945.0,230861.0,589762.0,308767.0,280995.0,599790.0,310841.0,288949.0,562639.0,287951.0,274688.0,494461.0,250886.0,243575.0,459817.0,232003.0,227814.0,461427.0,231923.0,229504.0,480318.0,237226.0,243092.0,473823.0,230342.0,243481.0,419962.0,199042.0,220920.0,338543.0,159116.0,179427.0,221034.0,102336.0,118698.0,132954.0,58817.0,74137.0,135381.0,50440.0,84941.0,38.13353839522969,37.13035704166003,39.20808620190359
48,54000,West Virginia,74.8,505.0,57.0,17,20,15,122.0,14,7.0,50.0,16.0,43,90.0,2.9,48659.0,50.0,5.0,19.0,18.0,73,76,3.5,0.3,0.8,0.0,1.7,92.0,0,51.3,1784787.0,884276.0,900511.0,91152.0,46788.0,44364.0,99916.0,51213.0,48703.0,102462.0,52537.0,49925.0,105098.0,54504.0,50594.0,110872.0,57002.0,53870.0,110042.0,57263.0,52779.0,104679.0,53605.0,51074.0,103226.0,52186.0,51040.0,108263.0,54185.0,54078.0,111427.0,56069.0,55358.0,113789.0,56931.0,56858.0,122345.0,59692.0,62653.0,127947.0,61901.0,66046.0,119480.0,57041.0,62439.0,102696.0,48897.0,53799.0,67009.0,30975.0,36034.0,44074.0,18986.0,25088.0,40310.0,14501.0,25809.0,43.07509075312629,41.74475704944065,44.44673807014507
49,55000,Wisconsin,79.5,308.0,50.0,11,13,10,129.0,9,5.0,20.0,10.0,33,90.0,3.0,64177.0,39.0,4.0,15.0,11.0,67,83,6.4,1.2,3.0,0.1,7.1,80.9,1,29.8,5832655.0,2903716.0,2928939.0,326279.0,166651.0,159628.0,344504.0,176390.0,168114.0,365405.0,187046.0,178359.0,375588.0,191468.0,184120.0,391233.0,198844.0,192389.0,379942.0,196054.0,183888.0,361035.0,185142.0,175893.0,373429.0,188628.0,184801.0,348592.0,176441.0,172151.0,334405.0,168550.0,165855.0,364455.0,182637.0,181818.0,414047.0,204597.0,209450.0,405806.0,199932.0,205874.0,348757.0,170341.0,178416.0,271667.0,130646.0,141021.0,181013.0,83217.0,97796.0,119829.0,51921.0,67908.0,126669.0,45211.0,81458.0,40.27274520779987,39.22934901858588,41.36218929458368
50,56000,Wyoming,78.9,344.0,50.0,10,13,9,73.0,12,9.0,12.0,18.0,34,82.0,3.2,66152.0,36.0,3.0,27.0,20.0,70,83,1.1,2.7,1.1,0.1,10.1,83.7,1,35.2,582328.0,296891.0,285437.0,33785.0,17333.0,16452.0,36987.0,19194.0,17793.0,39600.0,20268.0,19332.0,37004.0,19181.0,17823.0,38293.0,20377.0,17916.0,37451.0,19468.0,17983.0,38655.0,20244.0,18411.0,39547.0,20420.0,19127.0,35979.0,18652.0,17327.0,32353.0,16776.0,15577.0,31584.0,16219.0,15365.0,36743.0,18337.0,18406.0,40571.0,20284.0,20287.0,36081.0,18205.0,17876.0,27733.0,13992.0,13741.0,17823.0,8613.0,9210.0,11125.0,5124.0,6001.0,11014.0,4204.0,6810.0,38.94174262614884,38.27464624747565,39.66132385871879
