1,edge,0,7,64,152.83694,58.73933,0.11895
1,edge,0,7,64,nan,nan,nan
7,edge,0,7,64,nan,nan,nan
14,edge,0,7,64,nan,nan,nan
28,edge,0,7,64,nan,nan,nan
1,edge,0,7,64,157.11708,58.58996,0.13686
7,edge,0,7,64,234.65851,71.26011,0.17711
14,edge,0,7,64,308.91919,80.85001,0.23696
28,edge,0,7,64,415.99542,115.32632,0.33850
1,edge,0,7,64,nan,nan,nan
7,edge,0,7,64,nan,nan,nan
14,edge,0,7,64,nan,nan,nan
28,edge,0,7,64,nan,nan,nan
1,edge,0,7,64,nan,nan,nan
7,edge,0,7,64,nan,nan,nan
14,edge,0,7,64,nan,nan,nan
28,edge,0,7,64,nan,nan,nan
