From_FIPS,To_FIPS,Count
01001,1051,24640
01001,1077,4932
01001,1097,4676
01001,32003,4928
01003,1003,162015
01003,1053,4932
01003,1077,9864
01003,1097,70140
01003,5075,4928
01003,12023,3896
01003,12033,25889
01003,12095,4928
01003,12099,4932
01003,12113,4676
01003,13311,3896
01003,20209,4928
01003,22051,4928
01003,28047,11688
01003,28087,4932
01003,47149,4928
01003,47155,4676
01003,48085,4676
01003,48469,6160
01003,51041,3896
01003,51620,3896
01005,1081,4928
01005,12005,17248
01007,1073,4932
01009,1055,4928
01009,1073,98676
01009,1077,14796
01009,1115,3896
01009,1117,4676
01009,12005,9856
01009,47119,11088
01009,47155,5845
01011,47119,4928
01013,1033,4932
01013,1077,4932
01013,1097,4676
01013,13135,3896
01015,1015,1102348
01015,1019,3896
01015,1055,4928
01015,1069,3896
01015,1073,25889
01015,12005,4928
01015,22033,4932
01015,32003,6160
01015,47107,4928
01015,47125,4928
01017,1081,4676
01017,12033,4932
01017,12113,4676
01017,13215,4932
01017,13311,3896
01017,37159,4932
01019,1015,17848
01019,1019,40908
01019,1049,8631
01019,1055,4928
01019,13015,6160
01021,1021,11688
01021,1073,4932
01021,1117,4676
01021,12005,9856
01021,12113,4676
01021,13045,4932
01021,13311,3896
01021,28067,4676
01021,29187,3896
01021,37159,4932
01021,47119,9856
01023,1097,4676
01025,1003,4932
01025,1097,21042
01025,22033,4932
01025,28087,4932
01027,1015,4928
01027,1121,4932
01029,1015,13636
01029,1073,4932
01029,13015,4676
01029,13143,3896
01029,47119,6160
01031,1031,135775
01031,12005,17248
01031,37159,4932
01033,1033,712674
01033,1059,8624
01033,1077,2374101
01033,1103,4676
01033,12005,4928
01033,47119,9856
01035,1053,4932
01035,1077,4932
01039,1077,4932
01039,12033,7392
01039,19011,3896
01039,28067,14028
01039,45061,3896
01041,1097,4676
01041,51620,3896
01043,1073,9860
01043,1077,29789
01043,1083,4932
01043,1089,4928
01043,1103,32732
01043,13057,4932
01043,47119,9856
01043,47123,4676
01043,47155,4676
01043,48329,4928
01045,1031,35501
01045,1045,4676
01045,1069,12720
01045,12005,4928
01045,13313,4928
01047,37159,9864
01049,1015,3896
01049,1049,61650
01049,1071,50553
01049,1073,9860
01049,1077,4932
01049,13241,4928
01049,32003,4928
01049,47065,3896
01051,1051,14784
01051,1073,3896
01051,1077,4870
01051,1081,9856
01051,1087,9352
01051,13121,4932
01051,13135,3896
01051,29077,3896
01051,37159,4932
01051,46103,4928
01051,48201,4932
01053,1053,160042
01053,1097,10521
01053,12101,4928
01053,12113,7014
01053,47119,4928
01055,1015,31168
01055,1049,4932
01055,1055,144152
01055,1073,21548
01055,1077,4932
01055,1089,9856
01055,1115,15584
01055,1117,4676
01055,12005,14784
01055,12095,12320
01055,13311,3896
01055,29189,4928
01057,1077,12330
01057,1103,8183
01057,28081,4676
01057,28087,20705
01057,51620,3896
01059,1033,45621
01059,1059,22176
01059,1077,806067
01059,1089,4928
01059,28081,11690
01059,47119,4928
01061,1031,4932
01061,1045,25718
01061,1069,7792
01067,1069,32116
01067,37159,4932
01069,1031,9864
01069,1045,9352
01069,1069,426886
01069,1073,8824
01069,12005,28336
01069,12095,4932
01069,13019,4932
01069,19155,4676
01069,29077,3896
01069,37159,4932
01069,47107,4928
01071,1049,6165
01071,1071,467307
01071,1077,4932
01071,1089,8624
01071,47123,4676
01073,1015,11688
01073,1019,3896
01073,1055,20944
01073,1069,3896
01073,1073,1355847
01073,1077,50553
01073,1115,3896
01073,1117,65464
01073,1125,4932
01073,1127,4932
01073,8031,4928
01073,12005,39424
01073,12033,4928
01073,13015,4676
01073,13089,4932
01073,13121,4928
01073,13135,7792
01073,22019,4870
01073,22033,4932
01073,28047,3896
01073,28067,5845
01073,28087,14796
01073,32003,20944
01073,37013,4676
01073,37159,14796
01073,44005,4928
01073,47037,4932
01073,47065,4932
01073,47093,4676
01073,47107,11088
01073,47119,16016
01073,47125,4928
01073,47149,4928
01073,47155,9352
01073,47157,12468
01073,48029,4932
01073,48085,4676
01073,48439,4928
01075,1077,12330
01075,1127,4932
01075,28081,22211
01075,28087,94446
01077,1033,152892
01077,1077,5702159
01077,1083,28359
01077,1089,4932
01077,1103,4676
01077,12005,4928
01077,13051,3896
01077,28071,4676
01077,28087,4932
01077,47055,9856
01077,47119,32032
01077,47155,4676
01077,47157,3896
01077,55073,4676
01079,1033,39456
01079,1059,4928
01079,1077,367705
01079,1083,4932
01079,1103,37408
01081,1045,4676
01081,1069,3896
01081,1073,11688
01081,1077,4932
01081,1081,222513
01081,1087,4676
01081,1089,4932
01081,1103,4676
01081,1113,103488
01081,6037,4932
01081,12005,4928
01081,13015,4676
01081,13021,3896
01081,13077,4932
01081,13135,3896
01081,13215,24396
01081,13311,3896
01081,37159,9864
01081,51620,3896
01083,1033,4932
01083,1077,169315
01083,1083,1085040
01083,1089,14284
01083,1103,47929
01083,47055,14784
01083,47119,28336
01083,47155,4676
01085,12095,3896
01087,1081,14284
01087,1087,43253
01089,1055,4928
01089,1071,19728
01089,1073,9864
01089,1077,95729
01089,1083,28359
01089,1089,293333
01089,1103,33901
01089,6037,3896
01089,12005,4928
01089,12009,4676
01089,12011,4928
01089,13045,4932
01089,13121,4932
01089,13135,3896
01089,18087,4932
01089,21015,4928
01089,25009,4932
01089,28047,3896
01089,28067,4676
01089,34017,4676
01089,42041,4676
01089,45019,4928
01089,45043,5844
01089,47037,4932
01089,47053,4928
01089,47055,4928
01089,47107,9856
01089,47119,24640
01089,48479,4676
01093,1033,11097
01093,1077,277169
01093,12113,4676
01093,13311,3896
01093,28081,90013
01093,28087,9864
01095,1071,16029
01095,1073,8824
01095,1077,24660
01095,1089,14532
01095,1103,4676
01095,6001,4932
01095,13285,4928
01095,37159,4932
01095,47119,4928
01095,47125,4928
01095,47155,4676
01097,1003,14796
01097,1015,3896
01097,1031,16622
01097,1069,3896
01097,1071,4932
01097,1073,9856
01097,1077,13563
01097,1097,458760
01097,1113,4928
01097,6037,4676
01097,12033,7792
01097,12123,6165
01097,13135,3896
01097,19155,4676
01097,21009,4928
01097,22019,3896
01097,22051,4928
01097,28047,15584
01097,28059,4676
01097,48201,11688
01099,1073,4928
01099,1097,4676
01101,1051,19712
01101,1073,9860
01101,1081,4928
01101,1085,3896
01101,12095,4928
01101,12099,4928
01101,47157,3896
01103,1015,3896
01103,1077,70281
01103,1083,19728
01103,1089,14784
01103,1103,524881
01103,12033,4932
01103,22079,3896
01103,28081,4676
01103,39043,6165
01103,47055,4928
01103,47119,4928
01107,1077,6165
01107,1107,43120
01107,28081,4676
01107,28087,78080
01109,1031,9864
01109,1045,4676
01109,1051,4928
01109,1077,4932
01109,1097,4676
01109,48439,4928
01111,1015,7792
01111,12073,4928
01113,1015,3896
01113,1113,287080
01113,13135,7792
01113,13215,64906
01115,1015,11688
01115,1031,4676
01115,1055,43120
01115,1073,225759
01115,1077,14993
01115,1097,4676
01115,1115,9740
01115,1117,18704
01115,12005,12320
01115,13135,3896
01115,19155,4676
01115,28087,9864
01115,37159,4932
01115,37185,6160
01117,1015,3896
01117,1051,4928
01117,1055,4928
01117,1073,226601
01117,1077,16029
01117,1083,13563
01117,1103,4676
01117,1115,3896
01117,1117,111823
01117,4017,4932
01117,6037,3896
01117,13121,13756
01117,13311,4932
01117,34017,4676
01117,48453,3896
01119,1073,4928
01119,47119,9856
01121,1015,58498
01121,1055,4928
01121,1073,40878
01121,1121,9864
01121,13121,4676
01121,13215,4928
01121,37159,4932
01123,1051,4928
01123,1077,4932
01123,1081,9352
01123,1087,10521
01123,12005,4928
01125,1049,4932
01125,1055,4928
01125,1073,29398
01125,1077,33488
01125,1107,9856
01125,1125,75213
01125,6075,4932
01125,8031,3896
01125,12005,4928
01125,12113,4676
01125,13117,4676
01125,13135,3896
01125,21015,4928
01125,21193,6160
01125,28067,4676
01125,28087,14540
01125,34029,4676
01125,37159,4932
01125,42041,4676
01125,48085,12859
01125,48201,4676
01125,48329,4928
01127,1073,14788
01127,1077,35757
01127,1127,125766
01127,12005,4928
01127,12095,4928
01127,13213,4676
01127,17029,4676
01127,28081,4676
01127,32003,4928
01127,47107,9856
01127,47119,9856
01129,1097,10521
01129,1125,4932
01129,47107,4928
01133,1059,4928
01133,1073,6160
01133,1077,204678
01133,1127,17262
01133,13045,4932
01133,22017,4932
01133,37159,4932
01133,47107,4928
02020,2020,192545
02020,2122,4928
02020,25003,4932
02020,25025,5845
02020,39043,9864
02020,39125,3896
02020,53053,4932
02020,53077,4932
02090,2020,4932
02110,2110,5844
02122,2122,172480
02122,26147,4932
02170,2020,35954
02170,32003,4928
02170,40143,4932
02170,53053,4932
02240,32007,4932
04001,4001,35728
04001,4007,3896
04001,32003,4928
04003,4003,32142
04003,4013,4676
04003,4019,8828
04003,6065,4676
04003,15003,4676
04003,27003,4676
04005,4001,4928
04005,4005,91556
04005,4007,7792
04005,4013,9608
04005,4017,14796
04005,6037,4676
04005,22079,3896
04005,32003,18684
04005,36013,4676
04005,37159,11097
04007,4007,169476
04007,4013,9608
04007,6037,4676
04007,6083,4676
04009,4009,38960
04011,4009,8766
04013,4005,61362
04013,4007,79868
04013,4013,5884315
04013,4017,45621
04013,4019,8828
04013,4021,19728
04013,6001,9608
04013,6037,46621
04013,6059,14284
04013,6065,25247
04013,6071,4928
04013,6073,23608
04013,6079,7792
04013,6083,4676
04013,6085,3896
04013,6099,4676
04013,6111,3896
04013,8007,4676
04013,8031,14417
04013,10003,4928
04013,12009,3896
04013,12095,8824
04013,13121,4928
04013,15003,4676
04013,16001,4932
04013,21117,6160
04013,25023,3896
04013,27037,3896
04013,29077,3896
04013,30063,3896
04013,32003,113356
04013,34025,4676
04013,36061,3896
04013,37159,9864
04013,38017,4870
04013,39043,12330
04013,39049,4676
04013,42091,4676
04013,48085,4676
04013,48239,4676
04013,48329,4928
04013,48439,27108
04013,49035,4932
04013,49049,16364
04013,51700,4932
04013,56025,4932
04013,56039,4928
04015,4013,9608
04015,4015,43928
04015,6001,3896
04015,6065,4676
04015,6071,19712
04015,32003,14788
04015,49035,4928
04015,49053,4932
04017,4001,4928
04017,4007,17532
04017,4013,4676
04017,4017,60626
04017,47157,3896
04017,49039,4928
04019,4003,3896
04019,4007,3896
04019,4009,3896
04019,4013,59607
04019,4017,9864
04019,4019,652007
04019,6037,9352
04019,6059,3896
04019,6071,4928
04019,6073,4676
04019,9009,7014
04019,12009,3896
04019,12095,8824
04019,13051,3896
04019,27053,4676
04019,32003,18480
04019,37159,4932
04019,37183,3896
04019,39049,7014
04019,42011,4676
04019,48085,10521
04019,48113,3896
04019,48439,4928
04019,49001,4932
04019,51510,3896
04019,51680,3896
04019,55137,7014
04021,4005,3896
04021,4007,16558
04021,4013,118900
04021,4019,3896
04021,4021,301435
04021,6037,10777
04021,6073,4676
04021,8007,4676
04021,8059,4932
04021,12031,4676
04021,17031,4676
04021,26121,4676
04021,41051,3896
04021,49035,4928
04021,49049,4928
04023,4013,4676
04023,4019,9352
04023,4023,28359
04025,4005,9740
04025,4007,3896
04025,4013,14284
04025,4017,4932
04025,4025,27104
04025,6071,4928
04025,6073,4928
04025,34017,4676
04025,39049,5845
04027,4021,4932
04027,6073,3896
04027,48439,4928
04027,53033,4932
05001,5001,177408
05001,12099,4932
05003,32003,4928
05003,48439,4928
05005,29215,3896
05007,5007,129465
05007,5143,4676
05007,12095,4928
05007,19103,7392
05007,26081,3896
05007,27163,4676
05007,28071,5845
05007,28081,4676
05007,30063,3896
05007,32003,7392
05007,34017,4928
05007,40143,4932
05007,48085,9352
05007,48439,4928
05007,48499,4932
05009,29077,3896
05009,47157,7792
05011,12005,4928
05011,22019,3896
05017,28151,4928
05019,48279,4932
05019,48439,4928
05021,5031,4932
05021,29069,16016
05021,29207,4932
05021,47157,3896
05023,5031,4932
05023,5045,4932
05023,5141,4932
05023,22079,3896
05025,18141,3896
05027,48085,4676
05029,5045,18692
05029,5141,4932
05031,5031,202400
05031,5075,20944
05031,29069,4928
05031,29207,4932
05031,45019,4928
05031,47157,24408
05031,48439,4928
05033,19155,4676
05033,29037,3896
05033,40037,4676
05033,40135,36990
05033,47155,4676
05035,5035,9856
05035,5075,4928
05035,29077,3896
05035,32003,9856
05035,37159,4932
05035,47157,39992
05035,48439,4928
05037,5035,4928
05037,12005,6160
05037,22079,3896
05037,47155,4676
05037,47157,3896
05041,28151,4928
05041,48439,9856
05043,5001,4928
05045,5045,285819
05045,5141,4932
05045,12005,4928
05045,12095,4928
05045,13135,8828
05045,25025,4676
05045,47149,3896
05045,48085,4676
05045,48093,4928
05045,48439,9856
05047,40009,3896
05047,40135,4932
05047,48029,4932
05049,5031,4932
05049,29077,3896
05051,5045,6165
05051,32003,4928
05051,37159,4932
05051,40143,4932
05051,48085,4676
05055,5031,24660
05055,8041,4928
05055,29069,14784
05055,47119,4928
05055,47157,3896
05059,29037,3896
05063,5007,4932
05063,5031,4932
05063,20091,4928
05063,29069,4928
05063,31131,3896
05063,48453,3896
05065,28081,4676
05065,37159,4932
05069,5001,6160
05069,5069,4676
05069,20091,4676
05069,48439,4928
05069,48453,4932
05071,40135,4932
05075,5031,4932
05075,5075,48048
05075,5121,4676
05077,5077,14610
05077,5107,4928
05077,13121,4928
05079,28087,4932
05083,40135,8631
05085,5001,9856
05085,5031,9864
05085,5045,4932
05085,5085,29592
05085,5141,4932
05085,12005,4928
05085,28151,3896
05085,29189,3896
05085,32003,4928
05085,39043,4932
05087,5087,12859
05087,5143,9352
05087,40009,3896
05091,5091,4932
05091,28067,4676
05091,47075,4870
05091,48085,9352
05091,48439,16021
05091,48453,4932
05093,1077,7398
05093,5031,12326
05093,5093,23376
05093,47037,4932
05093,47149,4928
05093,47157,13636
05095,5001,9856
05095,5107,4928
05105,6037,3896
05107,5107,40656
05111,5031,27122
05111,5035,4928
05111,5075,4928
05111,47157,16616
05115,5031,7398
05115,5045,19728
05115,40101,4928
05117,5045,4932
05119,1073,4870
05119,5001,9856
05119,5045,39456
05119,12005,4928
05119,12033,4928
05119,12095,3896
05119,28067,4676
05119,28081,4676
05119,29037,3896
05119,32003,4932
05119,36061,9352
05119,37119,4928
05119,39049,4932
05119,40135,4932
05119,40143,4928
05119,47157,7792
05119,48085,26887
05119,48113,8572
05119,48239,5845
05119,48439,19712
05119,48453,4932
05121,5031,4932
05121,5075,14784
05121,5121,63510
05121,32003,4928
05123,5077,3896
05123,47157,3896
05125,5045,4932
05125,47119,4928
05125,47157,3896
05125,48085,4676
05129,5141,12330
05131,6097,4676
05131,34017,4676
05131,40135,39456
05131,48113,4676
05131,48439,4676
05131,56025,4932
05133,48001,3896
05133,48439,4928
05135,1097,4676
05135,6053,3896
05135,47157,3896
05137,5141,4932
05137,27037,3896
05139,12057,4928
05141,5045,17459
05141,5141,77679
05141,12005,4928
05143,1097,4676
05143,5007,4932
05143,5143,98196
05143,12097,3896
05143,17031,3896
05143,22079,3896
05143,29037,3896
05143,29187,3896
05143,32003,4928
05143,40009,4870
05143,40101,4928
05143,40143,19212
05143,47125,4928
05143,47157,4932
05143,48085,42084
05143,48113,4928
05143,48439,13552
05145,5045,28556
05145,47155,4676
05145,48005,4676
05145,48085,9352
05145,55073,4676
05147,5121,3896
05147,37159,4932
05149,40143,4932
06001,4013,9608
06001,6001,391191
06001,6009,4676
06001,6013,37656
06001,6037,52214
06001,6041,9856
06001,6059,4676
06001,6065,4676
06001,6073,7792
06001,6075,28548
06001,6077,14532
06001,6081,30569
06001,6085,18680
06001,6099,14028
06001,6103,4932
06001,13045,6165
06001,15003,18704
06001,32003,28540
06001,32007,4676
06001,34017,10521
06001,36047,3896
06001,39043,4932
06001,48085,4676
06001,49001,4932
06001,51003,4932
06005,6067,4676
06007,6007,148036
06007,6061,4928
06007,6063,3896
06007,6067,3896
06007,6083,3896
06007,6093,4932
06007,6101,4928
06007,6103,9864
06007,32003,4928
06007,32031,4932
06007,48201,4932
06009,6009,60788
06009,6077,12320
06011,6067,6818
06013,4013,4676
06013,6001,59410
06013,6009,14028
06013,6013,656120
06013,6041,3896
06013,6065,4676
06013,6073,8824
06013,6075,32444
