,FIPS,ID
0,1000,0
1,1001,1
2,1003,2
3,1013,3
4,1019,4
5,1021,5
6,1031,6
7,1033,7
8,1039,8
9,1041,9
10,1043,10
11,1049,11
12,1051,12
13,1053,13
14,1055,14
15,1057,15
16,1059,16
17,1069,17
18,1073,18
19,1077,19
20,1079,20
21,1081,21
22,1083,22
23,1089,23
24,1093,24
25,1095,25
26,1097,26
27,1101,27
28,1103,28
29,1107,29
30,1113,30
31,1115,31
32,1117,32
33,1121,33
34,1125,34
35,1127,35
36,2000,36
37,2020,37
38,2050,38
39,2090,39
40,2110,40
41,2122,41
42,2158,42
43,2170,43
44,2261,44
45,4000,45
46,4001,46
47,4003,47
48,4005,48
49,4007,49
50,4009,50
51,4012,51
52,4013,52
53,4015,53
54,4017,54
55,4019,55
56,4021,56
57,4023,57
58,4025,58
59,4027,59
60,5000,60
61,5005,61
62,5007,62
63,5009,63
64,5019,64
65,5023,65
66,5031,66
67,5033,67
68,5035,68
69,5045,69
70,5051,70
71,5055,71
72,5059,72
73,5061,73
74,5063,74
75,5065,75
76,5067,76
77,5069,77
78,5075,78
79,5083,79
80,5085,80
81,5091,81
82,5093,82
83,5111,83
84,5115,84
85,5119,85
86,5121,86
87,5125,87
88,5131,88
89,5133,89
90,5135,90
91,5137,91
92,5139,92
93,5143,93
94,5145,94
95,5149,95
96,6000,96
97,6001,97
98,6007,98
99,6013,99
100,6017,100
101,6019,101
102,6023,102
103,6025,103
104,6029,104
105,6031,105
106,6035,106
107,6037,107
108,6039,108
109,6041,109
110,6043,110
111,6045,111
112,6047,112
113,6053,113
114,6057,114
115,6059,115
116,6061,116
117,6065,117
118,6067,118
119,6069,119
120,6071,120
121,6073,121
122,6075,122
123,6077,123
124,6079,124
125,6081,125
126,6083,126
127,6085,127
128,6087,128
129,6089,129
130,6095,130
131,6097,131
132,6099,132
133,6101,133
134,6107,134
135,6109,135
136,6111,136
137,6113,137
138,8000,138
139,8001,139
140,8003,140
141,8005,141
142,8007,142
143,8013,143
144,8014,144
145,8015,145
146,8029,146
147,8031,147
148,8035,148
149,8037,149
150,8041,150
151,8043,151
152,8045,152
153,8059,153
154,8067,154
155,8069,155
156,8071,156
157,8077,157
158,8081,158
159,8085,159
160,8093,160
161,8097,161
162,8101,162
163,8107,163
164,8117,164
165,8123,165
166,9000,166
167,9001,167
168,9003,168
169,9005,169
170,9007,170
171,9009,171
172,9011,172
173,9013,173
174,9015,174
175,10000,175
176,10001,176
177,10003,177
